<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	23:00:00	1826.216	1830.460	1823.998	1829.131	2382	0	834
2023.01.03	00:00:00	1829.110	1831.840	1828.469	1830.585	2342	0	332
2023.01.03	01:00:00	1830.534	1832.330	1826.747	1828.477	4809	0	200
2023.01.03	02:00:00	1828.510	1839.647	1828.260	1838.329	5093	0	200
2023.01.03	03:00:00	1838.360	1843.079	1838.360	1841.153	4223	0	200
2023.01.03	04:00:00	1841.196	1842.066	1840.255	1840.314	2741	0	200
2023.01.03	05:00:00	1840.310	1841.096	1837.936	1840.337	3815	0	200
2023.01.03	06:00:00	1840.377	1844.220	1839.986	1841.936	4178	0	200
2023.01.03	07:00:00	1841.970	1849.902	1841.017	1847.464	6020	0	200
2023.01.03	08:00:00	1847.494	1847.972	1834.478	1836.086	8402	0	200
2023.01.03	09:00:00	1836.117	1841.889	1834.761	1838.748	6551	0	200
2023.01.03	10:00:00	1838.778	1839.340	1833.680	1834.408	5054	0	200
2023.01.03	11:00:00	1834.437	1834.801	1830.798	1833.158	4878	0	200
2023.01.03	12:00:00	1833.127	1836.332	1831.701	1834.530	4692	0	200
2023.01.03	13:00:00	1834.561	1840.994	1834.153	1838.855	7868	0	200
2023.01.03	14:00:00	1838.824	1849.777	1836.672	1844.847	9957	0	200
2023.01.03	15:00:00	1844.842	1845.374	1827.552	1833.189	12161	0	200
2023.01.03	16:00:00	1833.171	1834.286	1828.196	1834.286	7867	0	200
2023.01.03	17:00:00	1834.256	1839.260	1833.984	1839.260	5561	0	200
2023.01.03	18:00:00	1839.227	1840.181	1837.391	1838.803	4996	0	200
2023.01.03	19:00:00	1838.834	1839.201	1836.515	1839.036	3957	0	200
2023.01.03	20:00:00	1839.045	1839.546	1836.633	1838.134	3901	0	200
2023.01.03	21:00:00	1838.104	1839.853	1837.755	1839.570	2027	0	200
2023.01.03	23:00:00	1838.718	1839.191	1836.484	1836.522	2120	0	200
2023.01.04	00:00:00	1836.501	1839.191	1836.185	1838.625	2861	0	200
2023.01.04	01:00:00	1838.642	1844.472	1838.165	1844.317	4344	0	200
2023.01.04	02:00:00	1844.284	1846.038	1843.429	1845.761	3707	0	200
2023.01.04	03:00:00	1845.764	1847.142	1845.084	1845.591	2831	0	200
2023.01.04	04:00:00	1845.623	1846.790	1845.437	1846.632	2319	0	200
2023.01.04	05:00:00	1846.597	1847.080	1844.636	1846.347	3357	0	200
2023.01.04	06:00:00	1846.335	1848.973	1845.767	1847.882	3517	0	200
2023.01.04	07:00:00	1847.878	1858.602	1847.417	1858.272	6224	0	200
2023.01.04	08:00:00	1858.237	1865.086	1856.936	1859.939	7528	0	200
2023.01.04	09:00:00	1859.906	1862.258	1858.845	1860.497	4981	0	200
2023.01.04	10:00:00	1860.510	1861.521	1857.627	1858.793	4485	0	200
2023.01.04	11:00:00	1858.795	1862.751	1857.830	1860.105	4309	0	200
2023.01.04	12:00:00	1860.137	1860.374	1853.044	1853.547	5157	0	200
2023.01.04	13:00:00	1853.561	1862.676	1852.780	1860.026	8241	0	200
2023.01.04	14:00:00	1859.990	1860.848	1855.314	1857.015	9840	0	200
2023.01.04	15:00:00	1857.014	1858.411	1848.939	1857.757	14078	0	200
2023.01.04	16:00:00	1857.787	1860.354	1856.074	1858.522	6763	0	200
2023.01.04	17:00:00	1858.541	1860.009	1850.121	1850.449	5505	0	200
2023.01.04	18:00:00	1850.439	1853.891	1849.758	1850.552	6031	0	200
2023.01.04	19:00:00	1850.518	1852.555	1847.026	1852.451	9561	0	200
2023.01.04	20:00:00	1852.427	1855.720	1851.319	1855.305	4458	0	200
2023.01.04	21:00:00	1855.337	1857.144	1853.700	1854.500	2089	0	200
2023.01.04	23:00:00	1854.440	1856.975	1854.134	1854.827	2116	0	200
2023.01.05	00:00:00	1854.794	1856.310	1853.979	1855.093	3208	0	200
2023.01.05	01:00:00	1855.063	1858.971	1854.962	1858.857	4227	0	200
2023.01.05	02:00:00	1858.832	1858.832	1853.444	1856.847	3971	0	200
2023.01.05	03:00:00	1856.817	1856.935	1853.295	1853.296	3027	0	200
2023.01.05	04:00:00	1853.292	1853.460	1850.267	1852.025	2791	0	200
2023.01.05	05:00:00	1852.039	1853.408	1850.533	1852.599	3161	0	200
2023.01.05	06:00:00	1852.630	1855.609	1850.644	1850.758	3617	0	200
2023.01.05	07:00:00	1850.726	1855.071	1847.863	1849.273	4777	0	200
2023.01.05	08:00:00	1849.305	1850.370	1843.642	1846.358	7018	0	200
2023.01.05	09:00:00	1846.323	1850.465	1844.697	1848.486	4394	0	200
2023.01.05	10:00:00	1848.491	1851.309	1847.466	1848.969	4165	0	200
2023.01.05	11:00:00	1848.997	1850.766	1846.133	1846.247	4058	0	200
2023.01.05	12:00:00	1846.253	1848.762	1844.729	1845.331	4722	0	200
2023.01.05	13:00:00	1845.363	1848.312	1832.809	1834.729	13035	0	200
2023.01.05	14:00:00	1834.698	1837.832	1831.141	1834.388	10592	0	200
2023.01.05	15:00:00	1834.423	1836.201	1824.835	1826.851	12295	0	200
2023.01.05	16:00:00	1826.824	1831.966	1825.666	1830.680	6218	0	200
2023.01.05	17:00:00	1830.650	1834.186	1829.714	1833.864	4910	0	200
2023.01.05	18:00:00	1833.850	1837.435	1832.172	1835.911	5542	0	200
2023.01.05	19:00:00	1835.946	1836.455	1832.604	1834.276	3752	0	200
2023.01.05	20:00:00	1834.246	1834.246	1831.882	1833.000	3654	0	200
2023.01.05	21:00:00	1833.042	1833.805	1832.643	1832.795	1643	0	200
2023.01.05	23:00:00	1832.262	1833.132	1831.544	1832.799	1791	0	200
2023.01.06	00:00:00	1832.800	1834.791	1831.265	1834.291	2612	0	200
2023.01.06	01:00:00	1834.319	1836.123	1832.336	1835.467	3583	0	200
2023.01.06	02:00:00	1835.433	1840.343	1835.427	1838.225	3669	0	200
2023.01.06	03:00:00	1838.214	1840.824	1838.151	1839.281	3487	0	200
2023.01.06	04:00:00	1839.277	1840.633	1838.032	1838.080	2136	0	200
2023.01.06	05:00:00	1838.034	1838.187	1835.731	1837.112	3566	0	200
2023.01.06	06:00:00	1837.133	1839.803	1837.016	1838.792	3261	0	200
2023.01.06	07:00:00	1838.829	1840.649	1836.647	1838.339	3943	0	200
2023.01.06	08:00:00	1838.372	1840.472	1836.733	1837.007	4506	0	200
2023.01.06	09:00:00	1837.002	1837.344	1833.233	1835.443	3985	0	200
2023.01.06	10:00:00	1835.478	1837.868	1834.034	1836.636	3854	0	200
2023.01.06	11:00:00	1836.621	1839.946	1835.867	1836.625	3927	0	200
2023.01.06	12:00:00	1836.656	1837.676	1834.790	1836.356	4384	0	200
2023.01.06	13:00:00	1836.386	1852.513	1834.604	1851.753	17467	0	200
2023.01.06	14:00:00	1851.790	1852.659	1840.605	1843.625	12553	0	200
2023.01.06	15:00:00	1843.673	1863.121	1843.673	1862.250	16742	0	200
2023.01.06	16:00:00	1862.284	1864.321	1859.883	1863.347	7100	0	200
2023.01.06	17:00:00	1863.382	1864.977	1860.921	1862.328	4791	0	200
2023.01.06	18:00:00	1862.296	1869.465	1861.711	1868.651	4734	0	200
2023.01.06	19:00:00	1868.680	1869.783	1867.998	1868.842	3841	0	200
2023.01.06	20:00:00	1868.811	1869.312	1865.767	1866.828	3628	0	200
2023.01.06	21:00:00	1866.862	1867.258	1865.636	1865.989	1880	0	200
2023.01.08	23:00:00	1866.736	1869.889	1866.716	1869.602	3665	0	200
2023.01.09	00:00:00	1869.595	1870.788	1867.099	1868.563	3906	0	200
2023.01.09	01:00:00	1868.600	1875.199	1868.174	1874.373	5729	0	200
2023.01.09	02:00:00	1874.372	1879.479	1874.231	1879.185	4889	0	200
2023.01.09	03:00:00	1879.164	1879.494	1876.711	1877.144	3402	0	200
2023.01.09	04:00:00	1877.113	1877.871	1876.845	1876.867	2167	0	200
2023.01.09	05:00:00	1876.865	1878.100	1874.682	1877.893	3168	0	200
2023.01.09	06:00:00	1877.891	1879.868	1877.018	1878.049	3542	0	200
2023.01.09	07:00:00	1878.014	1880.917	1873.728	1875.028	5499	0	200
2023.01.09	08:00:00	1875.059	1876.916	1873.559	1873.813	5438	0	200
2023.01.09	09:00:00	1873.781	1874.629	1871.237	1873.568	4597	0	200
2023.01.09	10:00:00	1873.574	1874.809	1871.308	1871.518	4060	0	200
2023.01.09	11:00:00	1871.551	1873.411	1870.490	1873.012	4018	0	200
2023.01.09	12:00:00	1873.019	1875.574	1872.006	1874.879	4076	0	200
2023.01.09	13:00:00	1874.909	1878.374	1872.733	1878.164	8184	0	200
2023.01.09	14:00:00	1878.166	1881.424	1873.773	1877.021	8992	0	200
2023.01.09	15:00:00	1877.052	1879.251	1872.137	1874.666	7862	0	200
2023.01.09	16:00:00	1874.696	1878.449	1873.204	1876.105	6479	0	200
2023.01.09	17:00:00	1876.073	1876.077	1869.008	1871.834	5685	0	200
2023.01.09	18:00:00	1871.864	1874.677	1869.309	1871.240	4853	0	200
2023.01.09	19:00:00	1871.258	1875.695	1871.257	1875.188	3930	0	200
2023.01.09	20:00:00	1875.158	1875.158	1869.176	1871.192	4251	0	200
2023.01.09	21:00:00	1871.161	1871.826	1870.045	1871.598	1749	0	200
2023.01.09	23:00:00	1870.953	1871.145	1870.271	1870.490	1765	0	200
2023.01.10	00:00:00	1870.477	1870.857	1867.789	1870.628	3477	0	200
2023.01.10	01:00:00	1870.661	1875.925	1869.960	1874.377	4644	0	200
2023.01.10	02:00:00	1874.411	1875.560	1870.991	1872.762	4438	0	200
2023.01.10	03:00:00	1872.794	1873.841	1871.457	1871.820	3330	0	200
2023.01.10	04:00:00	1871.853	1872.369	1870.667	1871.267	2100	0	200
2023.01.10	05:00:00	1871.235	1875.180	1870.792	1874.002	2765	0	200
2023.01.10	06:00:00	1874.024	1874.894	1872.101	1873.250	3168	0	200
2023.01.10	07:00:00	1873.281	1873.962	1870.587	1871.987	4634	0	200
2023.01.10	08:00:00	1871.957	1876.198	1871.581	1875.063	4929	0	200
2023.01.10	09:00:00	1875.052	1877.221	1874.416	1876.782	5028	0	200
2023.01.10	10:00:00	1876.799	1877.109	1873.386	1875.100	4119	0	200
2023.01.10	11:00:00	1875.097	1876.947	1873.809	1875.153	4376	0	200
2023.01.10	12:00:00	1875.128	1875.600	1870.412	1871.716	5134	0	200
2023.01.10	13:00:00	1871.707	1874.449	1870.832	1873.333	5682	0	200
2023.01.10	14:00:00	1873.297	1879.839	1872.799	1878.244	12213	0	200
2023.01.10	15:00:00	1878.212	1880.719	1874.563	1875.668	9200	0	200
2023.01.10	16:00:00	1875.702	1877.342	1871.173	1871.536	5884	0	200
2023.01.10	17:00:00	1871.528	1875.880	1871.330	1874.228	4590	0	200
2023.01.10	18:00:00	1874.217	1875.705	1871.917	1875.593	4307	0	200
2023.01.10	19:00:00	1875.634	1877.262	1875.285	1876.610	3436	0	200
2023.01.10	20:00:00	1876.591	1878.673	1875.908	1878.084	3233	0	200
2023.01.10	21:00:00	1878.052	1878.146	1876.603	1876.895	1633	0	200
2023.01.10	23:00:00	1876.954	1877.419	1876.352	1877.167	1483	0	200
2023.01.11	00:00:00	1877.196	1878.085	1875.728	1877.956	2642	0	200
2023.01.11	01:00:00	1877.944	1878.396	1871.990	1872.985	4038	0	200
2023.01.11	02:00:00	1872.953	1876.512	1872.242	1874.933	3427	0	200
2023.01.11	03:00:00	1874.912	1877.927	1874.567	1877.662	2646	0	200
2023.01.11	04:00:00	1877.698	1878.136	1876.908	1877.839	2037	0	200
2023.01.11	05:00:00	1877.842	1884.555	1877.417	1882.272	4128	0	200
2023.01.11	06:00:00	1882.239	1883.889	1880.535	1880.615	3437	0	200
2023.01.11	07:00:00	1880.646	1883.691	1880.236	1881.597	4508	0	200
2023.01.11	08:00:00	1881.561	1885.792	1880.922	1883.917	5310	0	200
